alpha,CL,CD,CM
-15,-0.6665,0.18548,0.0342
-14.5,-0.6568,0.17867,0.0313
-14,-0.677,0.17704,0.0261
-13.5,-0.6371,0.16571,0.0266
-13,-0.6212,0.15796,0.0252
-12.5,-0.6128,0.15085,0.0234
-12,-0.6125,0.14395,0.0211
-11.5,-0.6047,0.13674,0.0199
-11,-0.6055,0.12966,0.0182
-10.5,-0.8134,0.07992,-0.0248
-10,-0.8469,0.06915,-0.0245
-9.5,-0.8813,0.05888,-0.022
-9,-0.8968,0.05027,-0.0175
-8.5,-0.8668,0.04455,-0.0152
-8,-0.8414,0.03912,-0.0118
-7.5,-0.8068,0.03486,-0.0089
-7,-0.7686,0.0312,-0.006
-6.5,-0.7285,0.0283,-0.0032
-6,-0.6907,0.02579,0.0002
-5.5,-0.6533,0.02381,0.0041
-5,-0.6175,0.02237,0.0087
-4.5,-0.581,0.02139,0.0138
-4,-0.5428,0.02082,0.0193
-3.5,-0.5032,0.02064,0.0252
-3,-0.4613,0.02078,0.0311
-2.5,-0.4049,0.02134,0.0347
-2,-0.284,0.02241,0.0258
-1.5,-0.1208,0.02235,0.0057
-1,0.0353,0.0209,-0.016
-0.5,0.028,0.02018,-0.0098
0,0,0.01996,0
0.5,-0.028,0.02018,0.0098
1,-0.0353,0.0209,0.016
1.5,0.1207,0.02234,-0.0057
2,0.2839,0.0224,-0.0258
2.5,0.4049,0.02133,-0.0347
3,0.4613,0.02078,-0.0311
3.5,0.5032,0.02063,-0.0252
4,0.5428,0.02082,-0.0193
4.5,0.581,0.02138,-0.0138
5,0.6174,0.02237,-0.0087
5.5,0.6533,0.02381,-0.0041
6,0.6906,0.02579,-0.0002
6.5,0.7284,0.0283,0.0032
7,0.7686,0.03119,0.006
7.5,0.8068,0.03486,0.0089
8,0.8414,0.03912,0.0118
9,0.8968,0.05027,0.0175
9.5,0.8814,0.05889,0.022
10,0.8472,0.06917,0.0244
10.5,0.814,0.07995,0.0247
12,0.6143,0.14406,-0.0213
12.5,0.6141,0.15093,-0.0236
13,0.6224,0.15804,-0.0254
13.5,0.6378,0.16576,-0.0269
14,0.6773,0.17706,-0.0264
14.5,0.6584,0.17887,-0.0315
15,0.6676,0.18567,-0.0345
