Alpha,Cl,Cd,Cm
-10.0,-0.503,0.1068,-0.0259
-9.0,-0.485,0.09168,-0.0268
-8.0,-0.502,0.07794,-0.0278
-7.0,-0.6368,0.03378,-0.0351
-6.0,-0.5657,0.02687,-0.0298
-5.0,-0.4797,0.02242,-0.0261
-4.0,-0.3901,0.01987,-0.0235
-3.0,-0.3018,0.01839,-0.0217
-2.0,-0.1548,0.01714,-0.0295
-1.0,0.0708,0.01753,-0.0492
0.0,0.2564,0.01706,-0.0646
1.0,0.4063,0.0161,-0.0702
2.0,0.5133,0.01571,-0.0668
3.0,0.6125,0.01589,-0.0621
4.0,0.7086,0.01655,-0.0574
5.0,0.8046,0.01732,-0.0527
6.0,0.8939,0.01827,-0.047
7.0,0.9695,0.01959,-0.0398
8.0,1.0201,0.02362,-0.0302
9.0,1.0878,0.02923,-0.024
10.0,1.1802,0.03587,-0.022
