Alpha,Cl,Cd,Cm
-10,-0.4803,0.11282,-0.0182
-9,-0.447,0.09897,-0.0177
-8,-0.4449,0.08609,-0.0182
-7,-0.6187,0.04197,-0.0371
-6,-0.5621,0.03198,-0.0313
-5,-0.4804,0.02606,-0.0271
-4,-0.3919,0.0227,-0.024
-3,-0.303,0.02035,-0.0215
-2,-0.2244,0.01889,-0.0153
-1,-0.0732,0.02011,-0.0252
0,0.1254,0.0217,-0.0452
1,0.2998,0.02229,-0.058
2,0.4625,0.02182,-0.0653
3,0.5838,0.02159,-0.064
4,0.6938,0.02154,-0.06
5,0.796,0.02198,-0.055
6,0.8909,0.02228,-0.0484
7,0.9694,0.02324,-0.0402
8,1.02,0.02685,-0.0296
9,1.0953,0.03337,-0.0242
10,1.1789,0.04142,-0.0208
