Alpha,Cl,Cd,Cm
-10,-0.9974,0.01121,-0.0034
-9,-0.8916,0.00999,-0.002
-8,-0.7833,0.00902,-0.0009
-7,-0.6735,0.00816,-0.0001
-6,-0.5634,0.00727,0.0006
-5,-0.4507,0.00673,0.0009
-4,-0.3364,0.00641,0.0008
-3,-0.2215,0.00618,0.0005
-2,-0.1063,0.00632,-0.0001
-1,0.0076,0.00677,-0.0007
0,0.1221,0.00692,-0.0011
1,0.2349,0.00675,-0.0013
2,0.3414,0.00599,-0.0005
3,0.4389,0.00502,0.0026
4,0.5686,0.00548,-0.0015
5,0.6961,0.00599,-0.0053
6,0.8178,0.0065,-0.008
7,0.9429,0.00696,-0.0117
8,1.0663,0.00749,-0.015
9,1.1817,0.00863,-0.0173
10,1.2943,0.00966,-0.0189
