Alpha,Cl,Cd,Cm
-10.0,-0.9884,0.01207,-0.005
-9.0,-0.8839,0.01072,-0.0034
-8.0,-0.7767,0.00962,-0.0022
-7.0,-0.6688,0.00853,-0.0011
-6.0,-0.5582,0.00777,-0.0005
-5.0,-0.4454,0.00728,-0.0002
-4.0,-0.3315,0.00691,-0.0003
-3.0,-0.2166,0.00667,-0.0005
-2.0,-0.1022,0.00642,-0.0007
-1.0,0.0119,0.00677,-0.0012
0.0,0.1247,0.00728,-0.0017
1.0,0.2335,0.00675,-0.0012
2.0,0.3271,0.00527,0.0023
3.0,0.4515,0.00556,-0.0003
4.0,0.5931,0.0061,-0.0072
5.0,0.7128,0.00662,-0.0092
6.0,0.8391,0.0071,-0.0131
7.0,0.9646,0.00764,-0.0168
8.0,1.0863,0.00824,-0.0199
9.0,1.2048,0.00896,-0.0225
10.0,1.3046,0.01035,-0.0216
