Alpha,Cl,Cd,Cm
-15,-0.4622,0.16541,0.0122
-14,-0.47,0.1611,0.0104
-13,-0.4544,0.15029,0.0097
-12,-0.4614,0.14215,0.0094
-11,-0.42,0.12633,0.0094
-10,-0.4087,0.11388,0.0105
-9,-0.3816,0.09931,0.0117
-8,-0.3553,0.08491,0.0136
-7,-0.7345,0.02754,-0.0078
-6,-0.6811,0.01854,0.0009
-5,-0.6132,0.01351,0.0119
-4,-0.5381,0.01165,0.0267
-3,-0.4098,0.01301,0.0369
-2,-0.0583,0.01285,-0.0011
-1,0.0628,0.00917,-0.0154
0,0,0.01169,0
1,-0.0304,0.02174,0.0156
2,-0.0038,0.02453,0.02
3,0.3611,0.02873,-0.0301
4,0.5574,0.0257,-0.0291
5,0.6331,0.02674,-0.0132
6,0.7059,0.03122,-0.0022
7,0.7728,0.03946,0.0058
8,0.805,0.0534,0.0125
9,0.532,0.10726,-0.0277
10,0.5502,0.12031,-0.0261
11,0.5996,0.1377,-0.0258
12,0.5879,0.14778,-0.0274
13,0.6224,0.16295,-0.0291
14,0.6456,0.17652,-0.0323
15,0.6628,0.18861,-0.0375
