Alpha,Cl,Cd,Cm
-10,-0.4485,0.11377,-0.0134
-9,-0.4394,0.10092,-0.015
-8,-0.4426,0.08837,-0.0156
-7,-0.4734,0.07581,-0.0131
-6,-0.561,0.03392,-0.0317
-5,-0.4809,0.02758,-0.0274
-4,-0.3937,0.0239,-0.024
-3,-0.3045,0.02118,-0.0211
-2,-0.2308,0.01956,-0.0128
-1,-0.13,0.02041,-0.0148
0,0.0712,0.02302,-0.0368
1,0.2479,0.02455,-0.0512
2,0.4283,0.02472,-0.0629
3,0.5592,0.0247,-0.0637
4,0.6785,0.02444,-0.0609
5,0.7865,0.02451,-0.056
6,0.8872,0.02434,-0.0492
7,0.9688,0.02503,-0.0406
8,1.0221,0.02834,-0.0297
9,1.0964,0.03512,-0.0241
10,1.1749,0.04386,-0.02
