Alpha,Cl,Cd,Cm
-10.0,-0.1952,0.1043,-0.0143
-9.0,-0.1594,0.09249,-0.019
-8.0,-0.1251,0.08117,-0.0237
-7.0,-0.3388,0.09014,0.0068
-6.0,-0.3553,0.07805,0.0078
-5.0,-0.3687,0.06648,0.0134
-3.0,-0.0713,0.03823,-0.0368
-2.0,-0.1187,0.03467,-0.0248
-1.0,-0.0923,0.03441,-0.0173
0.0,-0.0372,0.03561,-0.0134
1.0,0.0235,0.03785,-0.0112
2.0,0.0841,0.04112,-0.0104
3.0,0.1428,0.04542,-0.0107
4.0,0.1988,0.05082,-0.012
5.0,0.2511,0.05744,-0.0143
6.0,0.2986,0.06538,-0.0175
7.0,0.3409,0.07476,-0.0215
8.0,0.3784,0.08564,-0.0263
9.0,0.412,0.09798,-0.0317
10.0,0.4432,0.11162,-0.0378
