Alpha,Cl,Cd,Cm
-12,-0.9086,0.02563,-0.0808
-11.5,-0.8479,0.02444,-0.0836
-11,-0.7957,0.0217,-0.0859
-10.5,-0.7292,0.0213,-0.089
-10,-0.6682,0.02015,-0.0913
-9.5,-0.6114,0.01924,-0.0922
-9,-0.5653,0.01679,-0.0917
-8.5,-0.5148,0.01593,-0.0911
-8,-0.4649,0.01501,-0.0902
-7.5,-0.4141,0.01411,-0.0893
-7,-0.3624,0.01325,-0.0885
-6.5,-0.3109,0.01217,-0.0878
-6,-0.2604,0.01085,-0.0869
-5.5,-0.2072,0.01018,-0.0864
-5,-0.1534,0.00964,-0.0859
-4.5,-0.0993,0.00921,-0.0854
-4,-0.0448,0.00885,-0.085
-3.5,0.0093,0.00832,-0.0845
-3,0.0644,0.00803,-0.0842
-2.5,0.1195,0.00782,-0.0838
-2,0.1743,0.00751,-0.0835
-1.5,0.229,0.00724,-0.0833
-1,0.2834,0.0069,-0.0831
-0.5,0.338,0.00665,-0.0829
0,0.3917,0.00636,-0.0825
0.5,0.4415,0.00572,-0.0814
1,0.4866,0.0053,-0.0785
1.5,0.5584,0.00549,-0.0817
2,0.6427,0.00578,-0.088
2.5,0.6957,0.00606,-0.0875
3,0.7432,0.0064,-0.0859
3.5,0.7877,0.00697,-0.0837
4,0.8335,0.0075,-0.0818
4.5,0.8823,0.0079,-0.0804
5,0.9328,0.00823,-0.0795
5.5,0.9838,0.00857,-0.0786
6,1.0347,0.00893,-0.0778
6.5,1.0857,0.00929,-0.077
7,1.1355,0.00974,-0.0761
7.5,1.1831,0.01035,-0.0749
8,1.2236,0.01145,-0.0726
8.5,1.263,0.0126,-0.0702
9,1.3037,0.01359,-0.068
9.5,1.3441,0.01452,-0.0658
10,1.3742,0.01589,-0.062
10.5,1.3902,0.01801,-0.0561
11,1.4191,0.01938,-0.0526
11.5,1.4443,0.02104,-0.0488
12,1.4695,0.02278,-0.0455
