Alpha,Cl,Cd,Cm
-10.0,-0.518,0.10687,-0.0281
-9.0,-0.4778,0.09208,-0.0257
-8.0,-0.4966,0.07824,-0.0273
-7.0,-0.6368,0.0339,-0.035
-6.0,-0.5656,0.02696,-0.0298
-5.0,-0.4797,0.02249,-0.0261
-4.0,-0.3901,0.01992,-0.0235
-3.0,-0.3018,0.01843,-0.0217
-2.0,-0.1571,0.01718,-0.0291
-1.0,0.0677,0.01759,-0.0487
0.0,0.2538,0.01716,-0.0642
1.0,0.4049,0.01621,-0.07
2.0,0.5126,0.01581,-0.0668
3.0,0.6128,0.01595,-0.0622
4.0,0.7086,0.01662,-0.0574
5.0,0.8049,0.01738,-0.0527
6.0,0.8938,0.01833,-0.047
7.0,0.9694,0.01965,-0.0398
8.0,1.02,0.02367,-0.0301
9.0,1.0881,0.02931,-0.024
10.0,1.1807,0.03597,-0.0221
