alpha,CL,CD,CM
-30,-0.6702,0.32054,0.0815
-28,-0.6484,0.29663,0.0707
-26,-0.6234,0.27317,0.06
-24,-0.5959,0.2503,0.0496
-23,-0.589,0.23949,0.0428
-22,-0.567,0.22806,0.0393
-21,-0.5548,0.21678,0.0338
-20,-0.548,0.20776,0.0275
-19,-0.5234,0.19584,0.0246
-18,-0.5203,0.18538,0.0184
-17,-0.5226,0.17784,0.0123
-16,-0.4885,0.16511,0.0111
-15,-0.4858,0.15481,0.0066
-14,-0.5215,0.14535,0
-13,-0.5538,0.13236,-0.0076
-12,-0.6884,0.11627,0.0025
-11,-1.0535,0.04409,-0.0231
-10,-0.9995,0.03528,-0.018
-9,-0.928,0.02871,-0.013
-8,-0.8452,0.02355,-0.0088
-7,-0.7657,0.01987,-0.0036
-6,-0.6907,0.01679,0.0026
-5,-0.6162,0.01436,0.0087
-4,-0.5351,0.01295,0.0141
-3,-0.4486,0.01217,0.0188
-2,-0.3612,0.01198,0.0235
-1,-0.2086,0.01256,0.0166
0,0,0.01306,0
1,0.2086,0.01256,-0.0166
2,0.3611,0.01198,-0.0235
3,0.4485,0.01217,-0.0188
4,0.5351,0.01295,-0.0141
5,0.6161,0.01436,-0.0087
6,0.6907,0.01679,-0.0026
7,0.7657,0.01987,0.0036
8,0.8452,0.02355,0.0088
9,0.928,0.02871,0.013
10,0.9996,0.03528,0.018
12,1.0126,0.05698,0.0342
13,0.9165,0.0779,0.0304
14,0.6661,0.16025,-0.023
15,0.4845,0.15445,-0.0065
16,0.7378,0.19053,-0.0286
17,0.5219,0.1775,-0.0121
19,0.5221,0.19536,-0.0244
20,0.5477,0.20744,-0.0271
21,0.5532,0.21623,-0.0336
22,0.5655,0.22747,-0.0389
23,0.5871,0.23876,-0.0426
24,0.5942,0.2496,-0.0492
26,0.6217,0.27236,-0.0596
28,0.6466,0.29568,-0.0702
30,0.6682,0.31943,-0.081
