Alpha,Cl,Cd,Cm
-10.0,-0.9796,0.01298,-0.0067
-9.0,-0.877,0.01142,-0.0048
-8.0,-0.772,0.01002,-0.0031
-7.0,-0.6646,0.00891,-0.002
-6.0,-0.5536,0.00825,-0.0014
-5.0,-0.4409,0.00778,-0.0012
-4.0,-0.3274,0.00739,-0.0011
-3.0,-0.2133,0.00704,-0.0012
-2.0,-0.0991,0.00672,-0.0013
-1.0,0.0149,0.00672,-0.0016
0.0,0.1267,0.00744,-0.002
1.0,0.2308,0.00657,-0.0009
2.0,0.3299,0.00538,0.0019
3.0,0.4701,0.006,-0.0045
4.0,0.6073,0.00655,-0.0104
5.0,0.7299,0.00704,-0.0132
6.0,0.8554,0.00757,-0.0168
7.0,0.9805,0.0081,-0.0205
8.0,1.1022,0.0087,-0.0236
9.0,1.2083,0.00939,-0.0235
10.0,1.2981,0.01076,-0.0204
