Alpha,Cl,Cd,Cm
-10,-0.999,0.01105,-0.0031
-9,-0.893,0.00986,-0.0017
-8,-0.7845,0.00891,-0.0007
-7,-0.6745,0.00807,0.0001
-6,-0.5642,0.0072,0.0008
-5,-0.4516,0.00664,0.0011
-4,-0.3373,0.00632,0.0009
-3,-0.2223,0.00611,0.0007
-2,-0.1071,0.00636,0
-1,0.0069,0.00674,-0.0006
0,0.1216,0.00684,-0.001
1,0.2349,0.00673,-0.0013
2,0.3424,0.00605,-0.0007
3,0.4372,0.00492,0.003
4,0.5625,0.00537,-0.0001
5,0.6926,0.00589,-0.0045
6,0.8134,0.00639,-0.007
7,0.9385,0.00686,-0.0106
8,1.0622,0.00737,-0.0141
9,1.1772,0.00856,-0.0162
10,1.2901,0.0095,-0.0178
