Alpha,Cl,Cd,Cm
-20,-0.5349,0.20932,0.029
-19,-0.5356,0.20256,0.0226
-18,-0.5136,0.19107,0.0192
-17,-0.4929,0.17956,0.016
-16,-0.4794,0.16956,0.0124
-15,-0.4699,0.16007,0.0089
-14,-0.6937,0.17204,0.0204
-13,-0.6407,0.15351,0.0205
-12,-0.62,0.13866,0.0171
-11,-0.4807,0.11751,-0.0004
-10,-0.8485,0.04647,-0.0299
-9,-0.8726,0.03043,-0.0189
-8,-0.8475,0.03253,-0.0104
-7,-0.766,0.02655,-0.0054
-6,-0.6865,0.02196,0.0002
-5,-0.6148,0.01885,0.0077
-4,-0.5389,0.01722,0.0158
-3,-0.4596,0.01658,0.0247
-2,-0.3743,0.01707,0.034
-1,-0.1605,0.0186,0.0171
0,0,0.01812,0
1,0.1604,0.0186,-0.017
2,0.3742,0.01707,-0.034
3,0.4596,0.01658,-0.0247
4,0.5388,0.01722,-0.0158
5,0.6147,0.01884,-0.0077
6,0.6865,0.02196,-0.0002
7,0.766,0.02655,0.0054
8,0.8476,0.03253,0.0104
9,0.9149,0.04142,0.016
10,0.9489,0.05308,0.0229
11,0.78505,0.095895,0.0028
12,0.6212,0.13871,-0.0173
13,0.6426,0.15362,-0.0206
14,0.6939,0.1721,-0.0207
15,0.6908,0.18484,-0.0295
16,0.7215,0.20066,-0.0346
17,0.7527,0.21615,-0.0403
18,0.76925,0.225965,-0.0505
19,0.7858,0.23578,-0.0607
20,0.8199,0.24979,-0.0679
