Alpha,Cl,Cd,Cm
-20,-0.5348,0.21029,0.0289
-19,-0.5456,0.20813,0.0222
-18,-0.5165,0.19336,0.0192
-17,-0.4934,0.18101,0.0161
-16,-0.484,0.17204,0.0123
-15,-0.4797,0.16355,0.0088
-14,-0.5104,0.16048,0.0056
-13,-0.4596,0.14337,0.0054
-12,-0.4853,0.13466,0.0024
-11,-0.4569,0.11968,0.0023
-10,-0.4683,0.10377,0
-9,-0.8577,0.03467,-0.0204
-8,-0.812,0.02383,-0.0134
-7,-0.7681,0.02858,-0.0056
-6,-0.6878,0.02362,0.0001
-5,-0.616,0.02034,0.008
-4,-0.5408,0.01872,0.0171
-3,-0.4628,0.01825,0.0275
-2,-0.3581,0.01918,0.0345
-1,-0.0708,0.02005,0.0026
0,0,0.01893,0
1,0.0707,0.02005,-0.0025
2,0.3581,0.01918,-0.0345
3,0.4628,0.01824,-0.0275
4,0.5408,0.01872,-0.0171
5,0.616,0.02033,-0.008
6,0.6877,0.02361,0
7,0.7681,0.02858,0.0056
8,0.847,0.03532,0.0109
9,0.9031,0.04543,0.0173
10,0.8804,0.06212,0.0254
11,0.7718,0.08786,0.021
12,0.622,0.14121,-0.0187
13,0.6316,0.15614,-0.0231
14,0.6515,0.16987,-0.0273
15,0.6856,0.18541,-0.031
16,0.7302,0.20479,-0.0344
17,0.7486,0.215446667,-0.043233333
18,0.767,0.226103333,-0.052066667
19,0.7854,0.23676,-0.0609
20,0.8175,0.24981,-0.0688
