Alpha,Cl,Cd,Cm
-10.0,-0.4351,0.11805,-0.0077
-9.0,-0.4416,0.10736,-0.0085
-8.0,-0.4164,0.09438,-0.0062
-7.0,-0.4072,0.08102,-0.0047
-6.0,-0.5541,0.04036,-0.0319
-5.0,-0.483,0.03214,-0.0275
-4.0,-0.3991,0.02712,-0.0235
-3.0,-0.3118,0.02358,-0.0192
-2.0,-0.2507,0.02161,-0.0047
-1.0,-0.1236,0.02214,-0.0148
0.0,-0.0584,0.02425,-0.0139
1.0,0.1216,0.02839,-0.0334
2.0,0.2974,0.03158,-0.0489
3.0,0.4401,0.03398,-0.0559
4.0,0.5789,0.03542,-0.0591
5.0,0.7211,0.03476,-0.0578
6.0,0.8489,0.03305,-0.0516
7.0,0.9599,0.03101,-0.0422
8.0,1.0253,0.03316,-0.0305
9.0,1.0989,0.04049,-0.0242
10.0,1.1513,0.05129,-0.0177
