Alpha,Cl,Cd,Cm
-10.0,-0.9368,0.05317,-0.0238
-9.0,-0.9137,0.04045,-0.0162
-8.0,-0.8482,0.03201,-0.0101
-7.0,-0.7647,0.02599,-0.0056
-6.0,-0.6863,0.02157,0.0003
-5.0,-0.6145,0.01847,0.0076
-4.0,-0.5386,0.01685,0.0155
-3.0,-0.4591,0.01615,0.024
-2.0,-0.3765,0.01656,0.0336
-1.0,-0.1785,0.01815,0.0198
0.0,-0.0,0.01792,-0.0
1.0,0.1785,0.01815,-0.0198
2.0,0.3765,0.01655,-0.0335
3.0,0.4591,0.01615,-0.024
4.0,0.5385,0.01685,-0.0155
5.0,0.6145,0.01847,-0.0076
6.0,0.6863,0.02157,-0.0003
7.0,0.7647,0.02599,0.0056
8.0,0.8482,0.03201,0.0101
9.0,0.9138,0.04045,0.0162
10.0,0.9369,0.05318,0.0237
