Alpha,Cl,Cd,Cm
-10,-0.9418,0.01627,-0.0143
-9,-0.8482,0.01385,-0.0109
-8,-0.748,0.0123,-0.0084
-7,-0.6416,0.01135,-0.007
-6,-0.5311,0.01095,-0.0063
-5,-0.4212,0.01015,-0.0056
-4,-0.3118,0.00928,-0.0047
-3,-0.2007,0.00862,-0.0041
-2,-0.0887,0.00801,-0.0037
-1,0.0238,0.0075,-0.0034
0,0.1321,0.00668,-0.0027
1,0.2329,0.00564,-0.0012
2,0.3951,0.00699,-0.0123
3,0.5421,0.00764,-0.0203
4,0.6741,0.0081,-0.0253
5,0.7942,0.00858,-0.0277
6,0.8957,0.00911,-0.0262
7,0.9942,0.00975,-0.0241
8,1.0906,0.01051,-0.0218
9,1.1848,0.01138,-0.0192
10,1.2763,0.01234,-0.0162
