Alpha,Cl,Cd,Cm
-10.0,-0.425,0.12061,0.0349
-9.0,-0.3517,0.10203,0.0245
-8.0,-0.5317,0.09337,0.0234
-7.0,-0.5393,0.07773,0.0233
-6.0,-0.462,0.0657,0.0256
-5.0,-0.2686,0.05301,0.0077
-4.0,-0.1085,0.04068,-0.0195
-3.0,-0.0699,0.03538,-0.0208
-2.0,-0.034,0.03183,-0.0185
-1.0,-0.0096,0.02983,-0.0113
0.0,-0.0,0.02918,-0.0
1.0,0.0096,0.02982,0.0113
2.0,0.034,0.03183,0.0185
3.0,0.07,0.03537,0.0208
4.0,0.1088,0.04066,0.0195
5.0,0.269,0.05299,-0.0078
6.0,0.4622,0.06569,-0.0257
7.0,0.5215,0.07793,-0.0233
8.0,0.5321,0.09337,-0.0235
10.0,0.4261,0.12061,-0.0351
