Alpha,Cl,Cd,Cm
-20,-0.4696,0.2124,0.0208
-19,-0.4591,0.20652,0.0176
-18,-0.4319,0.19378,0.0146
-17,-0.4189,0.18683,0.0123
-16,-0.4058,0.18042,0.0107
-15,-0.3779,0.16872,0.0087
-14,-0.3499,0.1581,0.0072
-13,-0.3335,0.15052,0.0071
-12,-0.3067,0.14052,0.0065
-11,-0.2759,0.13,0.0059
-10,-0.3615,0.12176,0.0217
-9,-0.2966,0.10615,0.0153
-8,-0.1866,0.08582,-0.0032
-7,-0.1138,0.07132,-0.0159
-6,-0.3102,0.07157,0.013
-5,-0.2201,0.06137,0.0069
-4,-0.0612,0.05021,-0.0136
-3,0.0342,0.04237,-0.0259
-2,0.055,0.03875,-0.0227
-1,0.0462,0.03682,-0.0141
0,0,0.03634,0
1,-0.0462,0.03681,0.0141
2,-0.0549,0.03874,0.0227
3,-0.034,0.04235,0.0259
4,0.0616,0.05018,0.0135
5,0.2206,0.06134,-0.007
6,0.3109,0.07154,-0.0131
7,0.3671,0.08296,-0.015
8,0.33245,0.09456,-0.0153
9,0.2978,0.10616,-0.0156
10,0.3627,0.12178,-0.022
11,0.4081,0.13523,-0.0243
12,0.4579,0.15052,-0.0273
13,0.4933,0.16306,-0.029
14,0.5354,0.17744,-0.0318
15,0.5716,0.18988,-0.0346
16,0.6207,0.20759,-0.0387
17,0.6545,0.21973,-0.0427
18,0.6785,0.22707,-0.0476
19,0.7136,0.23949,-0.0533
20,0.75,0.25146,-0.0592
