Alpha,Cl,Cd,Cm
-10.0,-0.4588,0.10987,-0.0175
-9.0,-0.4758,0.09606,-0.0229
-8.0,-0.4617,0.08323,-0.0219
-7.0,-0.6287,0.03804,-0.0363
-6.0,-0.5637,0.02968,-0.0307
-5.0,-0.4799,0.02443,-0.0267
-4.0,-0.3906,0.02145,-0.0239
-3.0,-0.3022,0.01947,-0.0217
-2.0,-0.2193,0.01822,-0.0175
-1.0,-0.0125,0.01921,-0.0356
0.0,0.1819,0.01982,-0.0536
1.0,0.3642,0.01935,-0.0663
2.0,0.491,0.0189,-0.0668
3.0,0.6008,0.01874,-0.0634
4.0,0.704,0.019,-0.0589
5.0,0.8014,0.01972,-0.0539
6.0,0.8928,0.02039,-0.0477
7.0,0.9695,0.02151,-0.0399
8.0,1.0191,0.02537,-0.0296
9.0,1.093,0.03154,-0.0243
10.0,1.1828,0.03888,-0.0218
