Alpha,Cl,Cd,Cm
-10,-0.9746,0.01347,-0.0077
-9,-0.874,0.01165,-0.0054
-8,-0.769,0.01031,-0.0038
-7,-0.6618,0.0092,-0.0025
-6,-0.5512,0.00851,-0.0019
-5,-0.4383,0.00809,-0.0017
-4,-0.3251,0.00765,-0.0016
-3,-0.2117,0.00721,-0.0015
-2,-0.0974,0.00692,-0.0017
-1,0.0164,0.00674,-0.0018
0,0.128,0.00746,-0.0022
1,0.2287,0.00643,-0.0006
2,0.3403,0.00563,-0.0005
3,0.4811,0.00626,-0.007
4,0.6149,0.0068,-0.0121
5,0.7393,0.00728,-0.0153
6,0.8649,0.00779,-0.019
7,0.9891,0.00834,-0.0225
8,1.1079,0.00897,-0.025
9,1.2046,0.00968,-0.0228
10,1.2958,0.01088,-0.0199
