Alpha,Cl,Cd,Cm
-20,-0.8205,0.25968,0.0715
-19,-0.7823,0.24535,0.0655
-18,-0.7559,0.23597,0.0587
-17,-0.7238,0.224,0.0535
-16,-0.6913,0.21092,0.0489
-15,-0.6562,0.19624,0.045
-14,-0.6189,0.18166,0.042
-13,-0.5845,0.16741,0.0397
-12,-0.5629,0.15566,0.0391
-11,-0.5209,0.13967,0.0378
-10,-0.4784,0.12382,0.0364
-9,-0.4308,0.1077,0.0334
-8,-0.6201,0.08318,0.01
-7,-0.6779,0.06172,0.0065
-6,-0.6192,0.05267,0.0169
-5,-0.4757,0.04973,0.0271
-4,-0.1939,0.04169,-0.0014
-3,-0.0629,0.03348,-0.0207
-2,-0.0257,0.02971,-0.0191
-1,-0.0023,0.02757,-0.0122
0,0,0.02687,0
1,0.0024,0.02757,0.0122
2,0.0258,0.02971,0.0191
3,0.0631,0.03346,0.0206
4,0.1944,0.04167,0.0013
5,0.4688,0.0499,-0.0267
6,0.6193,0.05266,-0.0169
7,0.6559,0.06358,-0.0081
8,0.6204,0.0832,-0.0101
9,0.55015,0.103555,-0.0234
10,0.4799,0.12391,-0.0367
11,0.5218,0.13966,-0.038
12,0.5639,0.15569,-0.0393
13,0.5855,0.16749,-0.0399
14,0.6199,0.18176,-0.0423
15,0.6581,0.19671,-0.0453
16,0.6921,0.2111,-0.0492
17,0.7247,0.22427,-0.0537
18,0.7578,0.23686,-0.0589
19,0.7835,0.24598,-0.0658
20,0.822,0.26073,-0.0717
