Alpha,Cl,Cd,Cm
-10,-0.9906,0.01185,0.8834
-9,-0.8858,0.01052,0.8633
-8,-0.7785,0.00944,0.8351
-7,-0.6698,0.00846,0.8006
-6,-0.5594,0.00766,0.7753
-5,-0.4467,0.00714,0.7483
-4,-0.3327,0.00677,0.7163
-3,-0.2178,0.00654,0.6761
-2,-0.1032,0.00636,0.6107
-1,0.0109,0.00675,0.435
0,0.1241,0.0072,0.2737
1,0.234,0.00676,0.227
2,0.3325,0.00547,0.1973
3,0.4462,0.00541,0.1696
4,0.5881,0.00597,0.1468
5,0.7076,0.00647,0.1295
6,0.8342,0.00694,0.1146
7,0.9596,0.00747,0.1031
8,1.0816,0.00807,0.0912
9,1.1997,0.00881,0.0763
10,1.307,0.01019,0.0469
