Alpha,Cl,Cd,Cm
-30,-0.5462,0.29692,0.0478
-28,-0.5175,0.27411,0.0362
-26,-0.4841,0.25475,0.0246
-24,-0.7525,0.2845,0.0603
-22,-0.4138,0.21251,0.0025
-20,-0.3742,0.19431,-0.0076
-19.5,-0.3692,0.18778,-0.0105
-19,-0.3621,0.18253,-0.0128
-18.5,-0.3503,0.17893,-0.015
-18,-0.3395,0.175,-0.0173
-17.5,-0.3366,0.16872,-0.0201
-17.1,-0.3324,0.16453,-0.022
-16.5,-1.2362,0.0338,-0.0921
-16,-1.2417,0.02922,-0.0917
-15.5,-1.2261,0.02675,-0.0889
-15,-1.2083,0.0246,-0.0852
-14.5,-1.1864,0.0232,-0.0809
-14,-1.1572,0.02233,-0.0771
-13.5,-1.0976,0.02134,-0.0792
-13,-1.039,0.01992,-0.0814
-12.5,-0.9752,0.01925,-0.084
-12,-0.914,0.01889,-0.0856
-11.5,-0.8511,0.0182,-0.0878
-11,-0.7873,0.01761,-0.0901
-10.5,-0.7364,0.01584,-0.0905
-10,-0.6803,0.01542,-0.0909
-9.5,-0.6297,0.01483,-0.0901
-9,-0.5787,0.0143,-0.0893
-8.5,-0.5264,0.01388,-0.0886
-8,-0.478,0.01241,-0.0877
-7.5,-0.4263,0.01157,-0.087
-7,-0.3732,0.01094,-0.0865
-6.5,-0.3194,0.01041,-0.0861
-6,-0.2655,0.00986,-0.0857
-5.5,-0.2111,0.00944,-0.0853
-5,-0.1574,0.00885,-0.0849
-4.5,-0.1035,0.00828,-0.0844
-4,-0.0484,0.00796,-0.0841
-3.5,0.0068,0.00772,-0.0839
-3,0.0625,0.00755,-0.0837
-2.5,0.1181,0.0073,-0.0835
-2,0.1738,0.00711,-0.0833
-1.5,0.2288,0.00685,-0.0831
-1,0.2838,0.0066,-0.0829
-0.5,0.3386,0.00634,-0.0828
0,0.3933,0.0062,-0.0826
0.5,0.4468,0.00587,-0.0823
1,0.4967,0.00535,-0.0812
1.5,0.5428,0.00508,-0.0786
2.1,0.627,0.0054,-0.0822
2.1,0.627,0.0054,-0.0822
2.51,0.6901,0.00571,-0.0862
3,0.7443,0.0062,-0.0864
3.5,0.7894,0.00672,-0.0843
4,0.8376,0.00707,-0.0828
4.5,0.8873,0.00736,-0.0816
5,0.9386,0.00762,-0.0807
5.5,0.9902,0.00791,-0.08
6,1.0417,0.00823,-0.0792
6.5,1.0924,0.00863,-0.0784
7,1.1417,0.00913,-0.0774
7.5,1.185,0.01007,-0.0755
8,1.2263,0.01115,-0.0734
8.5,1.2694,0.01206,-0.0715
9,1.3135,0.01284,-0.0698
9.5,1.353,0.01387,-0.0675
10,1.3759,0.01578,-0.0624
10.5,1.4079,0.01691,-0.0589
11,1.441,0.01797,-0.0557
11.5,1.4673,0.01948,-0.0519
12,1.4961,0.02088,-0.0488
12.5,1.5224,0.02252,-0.0457
13,1.5446,0.02454,-0.0425
13.5,1.5555,0.02758,-0.0388
14,1.5745,0.03016,-0.0364
14.5,1.5887,0.03331,-0.0341
15,1.5984,0.0371,-0.0322
15.5,1.6042,0.04148,-0.0307
16,1.6052,0.04672,-0.0298
16.5,1.5984,0.05324,-0.0295
17,1.5803,0.06168,-0.0303
17.5,1.5478,0.07276,-0.0325
18,1.5098,0.08528,-0.0359
18.5,1.4851,0.09627,-0.0394
19,1.4587,0.10784,-0.0435
19.5,1.4298,0.12001,-0.0482
20,1.4048,0.13184,-0.0534
22,1.3373,0.17603,-0.0772
24,1.3143,0.21468,-0.1036
26,1.3113,0.25082,-0.1317
28,0.7699,0.30375,-0.1044
30,0.7813,0.33215,-0.1144
