Alpha,Cl,Cd,Cm
-12,-0.9142,0.01831,-0.086
-11.5,-0.8509,0.01767,-0.0883
-11,-0.7876,0.01708,-0.0904
-10.5,-0.7379,0.01544,-0.0904
-10,-0.6835,0.01498,-0.0904
-9.5,-0.6321,0.01444,-0.0898
-9,-0.5808,0.01394,-0.089
-8.5,-0.5285,0.01349,-0.0883
-8,-0.4771,0.01266,-0.0876
-7.5,-0.4276,0.01134,-0.0868
-7,-0.3744,0.01073,-0.0863
-6.5,-0.3204,0.01023,-0.0859
-6,-0.2664,0.00969,-0.0855
-5.5,-0.212,0.00927,-0.0852
-5,-0.1569,0.00896,-0.0849
-4.5,-0.1038,0.00821,-0.0843
-4,-0.0489,0.00789,-0.084
-3.5,0.0066,0.00765,-0.0838
-3,0.0623,0.00747,-0.0836
-2.5,0.1179,0.00725,-0.0834
-2,0.1736,0.00708,-0.0833
-1.5,0.2287,0.00681,-0.0831
-1,0.2839,0.00656,-0.083
-0.5,0.3387,0.0063,-0.0828
0,0.3934,0.00618,-0.0826
0.5,0.4472,0.00588,-0.0823
1,0.4978,0.00538,-0.0814
1.5,0.5427,0.00504,-0.0786
2,0.6082,0.00529,-0.0806
2.5,0.6856,0.00566,-0.0855
3,0.7443,0.00619,-0.0864
3.5,0.79,0.00667,-0.0844
4.1,0.8479,0.00708,-0.0827
4.5,0.8878,0.00731,-0.0817
5,0.9392,0.00757,-0.0808
5.5,0.991,0.00784,-0.0801
6,1.0424,0.00816,-0.0794
6.5,1.0928,0.00858,-0.0785
7,1.1419,0.0091,-0.0775
7.5,1.1848,0.01008,-0.0755
8,1.227,0.01109,-0.0735
8.5,1.2704,0.01198,-0.0717
9,1.3143,0.01278,-0.07
9.5,1.3536,0.01383,-0.0676
10,1.3779,0.01567,-0.0628
10.5,1.4106,0.01674,-0.0593
11,1.4436,0.01781,-0.0561
11.5,1.47,0.01931,-0.0523
12,1.5001,0.02062,-0.0493
